persistence_rank,image_id,image_path,true_label,error_decisions,architectures_failing,failing_architectures,dominant_wrong_label,wrong_label_counts,mean_incorrect_confidence,max_incorrect_confidence,min_incorrect_confidence,errors_confidence_ge_90,errors_confidence_ge_95,errors_confidence_ge_99,failing_run_keys,total_independent_runs,total_architectures,error_rate_pct,all_architectures_failed,persistent_ge_half_runs
60,DRUSEN/DRUSEN-2489093-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2489093-1.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.5988437,0.5988437,0.5988437,0,0,0,vit_b16_S16_seed3407,16,4,6.25,False,False
61,DRUSEN/DRUSEN-6264369-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-6264369-1.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.583707,0.583707,0.583707,0,0,0,vit_b16_S16_seed3407,16,4,6.25,False,False
62,DRUSEN/DRUSEN-2185112-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2185112-2.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.5743209,0.5743209,0.5743209,0,0,0,vit_b16_S14_seed84,16,4,6.25,False,False
63,DME/DME-9579219-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-9579219-1.jpeg,DME,1,1,se_resnet,CNV,CNV:1,0.5691851,0.5691851,0.5691851,0,0,0,se_resnet_S6_seed126,16,4,6.25,False,False
64,DRUSEN/DRUSEN-2510299-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2510299-2.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.5572942,0.5572942,0.5572942,0,0,0,vit_b16_S14_seed84,16,4,6.25,False,False
65,DRUSEN/DRUSEN-584218-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-584218-1.jpeg,DRUSEN,1,1,vit_b16,CNV,CNV:1,0.5119968,0.5119968,0.5119968,0,0,0,vit_b16_S15_seed126,16,4,6.25,False,False
66,DME/DME-3064922-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-3064922-1.jpeg,DME,1,1,cbam_resnet,CNV,CNV:1,0.5086999,0.5086999,0.5086999,0,0,0,cbam_resnet_S18_seed3407,16,4,6.25,False,False
67,DRUSEN/DRUSEN-3424668-3.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-3424668-3.jpeg,DRUSEN,1,1,cbam_resnet,CNV,CNV:1,0.5081683,0.5081683,0.5081683,0,0,0,cbam_resnet_S18_seed3407,16,4,6.25,False,False
68,DRUSEN/DRUSEN-4973287-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-4973287-1.jpeg,DRUSEN,1,1,resnet_baseline,CNV,CNV:1,0.50258064,0.50258064,0.50258064,0,0,0,resnet_baseline_S17_seed3407,16,4,6.25,False,False
69,NORMAL/NORMAL-446851-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-446851-2.jpeg,NORMAL,1,1,cbam_resnet,DME,DME:1,0.3555165,0.3555165,0.3555165,0,0,0,cbam_resnet_S7_seed42,16,4,6.25,False,False
